"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"13151" 19 "2012-07-07" "2012" 7 6 3 0 0 1 0.74 0.7121 0.74 0.1343 12
"2357" 2 "2011-04-13" "2011" 4 3 2 0 1 3 0.4 0.4091 1 0.2985 0
"2614" 199 "2011-04-23" "2011" 4 6 19 0 0 1 0.56 0.5303 0.83 0.2836 84
"6646" 234 "2011-10-09" "2011" 10 0 11 0 0 1 0.62 0.6212 0.53 0.0896 189
"15" 71 "2011-01-01" "2011" 1 6 14 0 0 2 0.46 0.4545 0.72 0.2836 35
"17264" 3 "2012-12-27" "2012" 12 4 4 0 1 2 0.24 0.2121 0.87 0.3284 0
"6781" 39 "2011-10-15" "2011" 10 6 2 0 0 1 0.46 0.4545 0.59 0.194 17
"12228" 320 "2012-05-29" "2012" 5 2 16 0 1 1 0.82 0.7727 0.49 0.4925 73
"10350" 547 "2012-03-12" "2012" 3 1 8 0 1 1 0.34 0.3333 0.61 0.1343 17
"2006" 46 "2011-03-29" "2011" 3 2 10 0 1 1 0.3 0.2727 0.24 0.2985 13
"13595" 223 "2012-07-25" "2012" 7 3 15 0 1 1 0.78 0.6818 0.31 0.0896 94
"11284" 668 "2012-04-20" "2012" 4 5 8 0 1 1 0.44 0.4394 0.94 0 32
"12229" 674 "2012-05-29" "2012" 5 2 17 0 1 1 0.82 0.7576 0.46 0.4179 107
"11651" 300 "2012-05-05" "2012" 5 6 15 0 0 3 0.66 0.6212 0.74 0.194 241
"868" 61 "2011-02-08" "2011" 2 2 14 0 1 1 0.22 0.197 0.37 0.4179 3
"16223" 282 "2012-11-13" "2012" 11 2 16 0 1 1 0.38 0.3939 0.4 0.2985 28
"16518" 40 "2012-11-25" "2012" 11 0 23 0 0 1 0.22 0.2576 0.69 0.0896 1
"13780" 718 "2012-08-02" "2012" 8 4 8 0 1 1 0.72 0.697 0.74 0.1045 21
"533" 171 "2011-01-24" "2011" 1 1 8 0 1 1 0.04 0.1364 0.49 0 6
"6689" 114 "2011-10-11" "2011" 10 2 6 0 1 1 0.52 0.5 0.83 0.0896 9
